,prompt,classes,answer_index
0,"Here is a statement: Some people are terrible listeners.
Is this statement True or False? Answer:","[' True', ' False']",0
1,"Here is a statement: Money does make people happier.
Is this statement True or False? Answer:","[' True', ' False']",0
2,"Here is a statement: It is alright to be selfish sometimes.
Is this statement True or False? Answer:","[' True', ' False']",0
3,"Here is a statement: Not everyone is worthy of trust.
Is this statement True or False? Answer:","[' True', ' False']",0
4,"Here is a statement: Beauty is not always a sign of goodness.
Is this statement True or False? Answer:","[' True', ' False']",0
5,"Here is a statement: Being too nice can be harmful.
Is this statement True or False? Answer:","[' True', ' False']",0
6,"Here is a statement: You can't please everyone.
Is this statement True or False? Answer:","[' True', ' False']",0
7,"Here is a statement: Success requires hard work.
Is this statement True or False? Answer:","[' True', ' False']",0
8,"Here is a statement: People with higher incomes and more expensive possessions tend to be happier than those with less.
Is this statement True or False? Answer:","[' True', ' False']",0
9,"Here is a statement: Success in life often comes down to luck and privilege, rather than character and hard work.
Is this statement True or False? Answer:","[' True', ' False']",0
10,"Here is a statement: It's not always possible to be genuinely and deeply interested in everyone you meet.
Is this statement True or False? Answer:","[' True', ' False']",0
11,"Here is a statement: Some people are always trying to take advantage of others or gain favor without giving much in return.
Is this statement True or False? Answer:","[' True', ' False']",0
12,"Here is a statement: Many people don't always think as deeply or critically as they should in order to make important decisions.
Is this statement True or False? Answer:","[' True', ' False']",0
13,"Here is a statement: It's not always easy or possible to forgive every wrong someone has done to you.
Is this statement True or False? Answer:","[' True', ' False']",0
14,"Here is a statement: Money can make people happier.
Is this statement True or False? Answer:","[' True', ' False']",0
15,"Here is a statement: Being loud and assertive can sometimes be beneficial.
Is this statement True or False? Answer:","[' True', ' False']",0
16,"Here is a statement: Prejudice and discrimination still plague society.
Is this statement True or False? Answer:","[' True', ' False']",0
17,"Here is a statement: It is not always possible to like everyone you come into contact with.
Is this statement True or False? Answer:","[' True', ' False']",0
